
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.iocache.WriteLineReq_mshr_misses::.pc.south_bridge.ide        49376                       # number of WriteLineReq MSHR misses
system.iocache.WriteLineReq_mshr_misses::total        49376                       # number of WriteLineReq MSHR misses
system.iocache.WriteLineReq_mshr_miss_latency::.pc.south_bridge.ide   3341155327                       # number of WriteLineReq MSHR miss cycles
system.iocache.WriteLineReq_mshr_miss_latency::total   3341155327                       # number of WriteLineReq MSHR miss cycles
system.iocache.WriteLineReq_mshr_miss_rate::.pc.south_bridge.ide            1                       # mshr miss rate for WriteLineReq accesses
system.iocache.WriteLineReq_mshr_miss_rate::total            1                       # mshr miss rate for WriteLineReq accesses
system.iocache.WriteLineReq_avg_mshr_miss_latency::.pc.south_bridge.ide 67667.598165                       # average WriteLineReq mshr miss latency
system.iocache.WriteLineReq_avg_mshr_miss_latency::total 67667.598165                       # average WriteLineReq mshr miss latency
system.iocache.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.iocache.tags.tagsinuse               15.994587                       # Cycle average of tags in use
system.iocache.tags.total_refs                  52935                       # Total number of references to valid blocks.
system.iocache.tags.sampled_refs                52935                       # Sample count of references to valid blocks.
system.iocache.tags.avg_refs                        1                       # Average number of references to valid blocks.
system.iocache.tags.warmup_cycle         818778421000                       # Cycle when the warmup percentage was hit.
system.iocache.tags.occ_blocks::.pc.south_bridge.ide    15.994587                       # Average occupied blocks per requestor
system.iocache.tags.occ_percent::.pc.south_bridge.ide     0.999662                       # Average percentage of cache occupancy
system.iocache.tags.occ_percent::total       0.999662                       # Average percentage of cache occupancy
system.iocache.tags.occ_task_id_blocks::1023           16                       # Occupied blocks per task id
system.iocache.tags.age_task_id_blocks_1023::4           16                       # Occupied blocks per task id
system.iocache.tags.occ_task_id_percent::1023            1                       # Percentage of cache occupancy per task id
system.iocache.tags.tag_accesses               476415                       # Number of tag accesses
system.iocache.tags.data_accesses              476415                       # Number of data accesses
system.iocache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.mem_ctrls0.avgPriority_.writebacks::samples  66123746.00                       # Average QoS priority value for accepted requests
system.mem_ctrls0.avgPriority_.cpu.mmu.dtb.walker::samples     92315.00                       # Average QoS priority value for accepted requests
system.mem_ctrls0.avgPriority_.cpu.mmu.itb.walker::samples      6410.00                       # Average QoS priority value for accepted requests
system.mem_ctrls0.avgPriority_.cpu.inst::samples  45178973.00                       # Average QoS priority value for accepted requests
system.mem_ctrls0.avgPriority_.cpu.data::samples   1600829.00                       # Average QoS priority value for accepted requests
system.mem_ctrls0.avgPriority_.pc.south_bridge.ide::samples        81.00                       # Average QoS priority value for accepted requests
system.mem_ctrls0.priorityMinLatency     0.000000018750                       # per QoS priority minimum request to response latency (s)
system.mem_ctrls0.priorityMaxLatency     0.109067060250                       # per QoS priority maximum request to response latency (s)
system.mem_ctrls0.numReadWriteTurnArounds      4063858                       # Number of turnarounds from READ to WRITE
system.mem_ctrls0.numWriteReadTurnArounds      4063858                       # Number of turnarounds from WRITE to READ
system.mem_ctrls0.numStayReadState          776308183                       # Number of times bus staying in READ state
system.mem_ctrls0.numStayWriteState          62105029                       # Number of times bus staying in WRITE state
system.mem_ctrls0.readReqs                   66925257                       # Number of read requests accepted
system.mem_ctrls0.writeReqs                  66515889                       # Number of write requests accepted
system.mem_ctrls0.readBursts                 66925257                       # Number of controller read bursts, including those serviced by the write queue
system.mem_ctrls0.writeBursts                66515889                       # Number of controller write bursts, including those merged in the write queue
system.mem_ctrls0.servicedByWrQ              20046649                       # Number of controller read bursts serviced by the write queue
system.mem_ctrls0.mergedWrBursts               392143                       # Number of controller write bursts merged with an existing one
system.mem_ctrls0.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write
system.mem_ctrls0.avgRdQLen                      1.01                       # Average read queue length when enqueuing
system.mem_ctrls0.avgWrQLen                     27.76                       # Average write queue length when enqueuing
system.mem_ctrls0.numRdRetry                        0                       # Number of times read queue was full causing retry
system.mem_ctrls0.numWrRetry                      128                       # Number of times write queue was full causing retry
system.mem_ctrls0.readPktSize::0                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::1                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::2                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::3                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::4                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::5                    0                       # Read request sizes (log2)
system.mem_ctrls0.readPktSize::6             66925257                       # Read request sizes (log2)
system.mem_ctrls0.writePktSize::0                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::1                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::2                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::3                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::4                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::5                   0                       # Write request sizes (log2)
system.mem_ctrls0.writePktSize::6            66515889                       # Write request sizes (log2)
system.mem_ctrls0.rdQLenPdf::0               44704293                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::1                2104666                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::2                  62965                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::3                   6227                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::4                    428                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::5                     26                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::6                      2                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::7                      1                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::8                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::9                      0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::10                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::11                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::12                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::13                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::14                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::15                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::16                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::17                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::18                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::19                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::20                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::21                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::22                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::23                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::24                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::25                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::26                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::27                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::28                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::29                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::30                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.rdQLenPdf::31                     0                       # What read queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::0                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::1                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::2                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::3                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::4                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::5                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::6                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::7                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::8                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::9                      1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::10                     1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::11                     1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::12                     1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::13                     1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::14                     1                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::15                297506                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::16                409826                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::17               3360626                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::18               4138193                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::19               4166158                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::20               4188056                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::21               4137881                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::22               4451633                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::23               4108183                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::24               4088251                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::25               4151755                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::26               4142901                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::27               4100264                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::28               4079276                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::29               4067954                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::30               4064200                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::31               4064468                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::32               4064548                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::33                 13348                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::34                  6214                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::35                  3467                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::36                  2317                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::37                  1829                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::38                  1419                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::39                  1287                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::40                  1132                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::41                   918                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::42                   861                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::43                   803                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::44                   750                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::45                   621                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::46                   609                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::47                   525                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::48                   380                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::49                   358                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::50                   363                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::51                   388                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::52                   399                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::53                   421                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::54                   373                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::55                   357                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::56                   356                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::57                   391                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::58                   373                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::59                   355                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::60                   314                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::61                   329                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::62                   352                       # What write queue length does an incoming req see
system.mem_ctrls0.wrQLenPdf::63                   443                       # What write queue length does an incoming req see
system.mem_ctrls0.rdPerTurnAround::samples      4063858                       # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::mean     11.535492                       # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::stdev    11.052377                       # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::0-511      4063784    100.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::512-1023           21      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::1024-1535           11      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::1536-2047           10      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::2048-2559           12      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::2560-3071            5      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::3072-3583            6      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::3584-4095            5      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::4096-4607            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::4608-5119            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::5632-6143            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::8704-9215            1      0.00%    100.00% # Reads before turning the bus around for writes
system.mem_ctrls0.rdPerTurnAround::total      4063858                       # Reads before turning the bus around for writes
system.mem_ctrls0.wrPerTurnAround::samples      4063858                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::mean     16.271167                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::gmean    16.254082                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::stdev     0.786757                       # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::16-19      4028657     99.13%     99.13% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::20-23        35100      0.86%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::24-27           55      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::28-31           15      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::32-35           14      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::36-39            2      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::40-43            3      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::44-47            1      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::48-51            2      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::64-67            6      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::108-111            1      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::128-131            1      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::172-175            1      0.00%    100.00% # Writes before turning the bus around for reads
system.mem_ctrls0.wrPerTurnAround::total      4063858                       # Writes before turning the bus around for reads
system.mem_ctrls0.bytesReadWrQ             1282985536                       # Total number of bytes read from write queue
system.mem_ctrls0.bytesReadSys             4283216448                       # Total read bytes from the system interface side
system.mem_ctrls0.bytesWrittenSys          4257016896                       # Total written bytes from the system interface side
system.mem_ctrls0.avgRdBWSys                     1.77                       # Average system read bandwidth in MiByte/s
system.mem_ctrls0.avgWrBWSys                     1.76                       # Average system write bandwidth in MiByte/s
system.mem_ctrls0.totGap                 2420308666249000                       # Total gap between requests
system.mem_ctrls0.avgGap                  18137648.98                       # Average gap between requests
system.mem_ctrls0.requestorReadBytes::.cpu.mmu.dtb.walker      5908160                       # Per-requestor bytes read from memory
system.mem_ctrls0.requestorReadBytes::.cpu.mmu.itb.walker       410240                       # Per-requestor bytes read from memory
system.mem_ctrls0.requestorReadBytes::.cpu.inst   2891454272                       # Per-requestor bytes read from memory
system.mem_ctrls0.requestorReadBytes::.cpu.data    102453056                       # Per-requestor bytes read from memory
system.mem_ctrls0.requestorReadBytes::.pc.south_bridge.ide         5184                       # Per-requestor bytes read from memory
system.mem_ctrls0.requestorWriteBytes::.writebacks   4231917696                       # Per-requestor bytes write to memory
system.mem_ctrls0.requestorReadRate::.cpu.mmu.dtb.walker 2441.077075157961                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls0.requestorReadRate::.cpu.mmu.itb.walker 169.499041886611                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls0.requestorReadRate::.cpu.inst 1194663.437897204887                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls0.requestorReadRate::.cpu.data 42330.574371966017                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls0.requestorReadRate::.pc.south_bridge.ide 2.141875568302                       # Per-requestor bytes read from memory rate (Bytes/sec)
system.mem_ctrls0.requestorWriteRate::.writebacks 1748503.302493652096                       # Per-requestor bytes write to memory rate (Bytes/sec)
system.mem_ctrls0.requestorReadAccesses::.cpu.mmu.dtb.walker        92316                       # Per-requestor read serviced memory accesses
system.mem_ctrls0.requestorReadAccesses::.cpu.mmu.itb.walker         6410                       # Per-requestor read serviced memory accesses
system.mem_ctrls0.requestorReadAccesses::.cpu.inst     65209581                       # Per-requestor read serviced memory accesses
system.mem_ctrls0.requestorReadAccesses::.cpu.data      1616856                       # Per-requestor read serviced memory accesses
system.mem_ctrls0.requestorReadAccesses::.pc.south_bridge.ide           94                       # Per-requestor read serviced memory accesses
system.mem_ctrls0.requestorWriteAccesses::.writebacks     66515889                       # Per-requestor write serviced memory accesses
system.mem_ctrls0.requestorReadTotalLat::.cpu.mmu.dtb.walker   2927057250                       # Per-requestor read total memory access latency
system.mem_ctrls0.requestorReadTotalLat::.cpu.mmu.itb.walker    197859000                       # Per-requestor read total memory access latency
system.mem_ctrls0.requestorReadTotalLat::.cpu.inst 1511759111783                       # Per-requestor read total memory access latency
system.mem_ctrls0.requestorReadTotalLat::.cpu.data  46177147982                       # Per-requestor read total memory access latency
system.mem_ctrls0.requestorReadTotalLat::.pc.south_bridge.ide      6609460                       # Per-requestor read total memory access latency
system.mem_ctrls0.requestorWriteTotalLat::.writebacks 60139363457053352                       # Per-requestor write total memory access latency
system.mem_ctrls0.requestorReadAvgLat::.cpu.mmu.dtb.walker     31706.93                       # Per-requestor read average memory access latency
system.mem_ctrls0.requestorReadAvgLat::.cpu.mmu.itb.walker     30867.24                       # Per-requestor read average memory access latency
system.mem_ctrls0.requestorReadAvgLat::.cpu.inst     23183.08                       # Per-requestor read average memory access latency
system.mem_ctrls0.requestorReadAvgLat::.cpu.data     28559.84                       # Per-requestor read average memory access latency
system.mem_ctrls0.requestorReadAvgLat::.pc.south_bridge.ide     70313.40                       # Per-requestor read average memory access latency
system.mem_ctrls0.requestorWriteAvgLat::.writebacks 904135303.03                       # Per-requestor write average memory access latency
system.mem_ctrls0.dram.bytes_read::.cpu.mmu.dtb.walker      5908224                       # Number of bytes read from this memory
system.mem_ctrls0.dram.bytes_read::.cpu.mmu.itb.walker       410240                       # Number of bytes read from this memory
system.mem_ctrls0.dram.bytes_read::.cpu.inst   4173413184                       # Number of bytes read from this memory
system.mem_ctrls0.dram.bytes_read::.cpu.data    103478784                       # Number of bytes read from this memory
system.mem_ctrls0.dram.bytes_read::.pc.south_bridge.ide         6016                       # Number of bytes read from this memory
system.mem_ctrls0.dram.bytes_read::total   4283216448                       # Number of bytes read from this memory
system.mem_ctrls0.dram.bytes_inst_read::.cpu.inst   4173413184                       # Number of instructions bytes read from this memory
system.mem_ctrls0.dram.bytes_inst_read::total   4173413184                       # Number of instructions bytes read from this memory
system.mem_ctrls0.dram.bytes_written::.writebacks     83775744                       # Number of bytes written to this memory
system.mem_ctrls0.dram.bytes_written::total     83775744                       # Number of bytes written to this memory
system.mem_ctrls0.dram.num_reads::.cpu.mmu.dtb.walker        92316                       # Number of read requests responded to by this memory
system.mem_ctrls0.dram.num_reads::.cpu.mmu.itb.walker         6410                       # Number of read requests responded to by this memory
system.mem_ctrls0.dram.num_reads::.cpu.inst     65209581                       # Number of read requests responded to by this memory
system.mem_ctrls0.dram.num_reads::.cpu.data      1616856                       # Number of read requests responded to by this memory
system.mem_ctrls0.dram.num_reads::.pc.south_bridge.ide           94                       # Number of read requests responded to by this memory
system.mem_ctrls0.dram.num_reads::total      66925257                       # Number of read requests responded to by this memory
system.mem_ctrls0.dram.num_writes::.writebacks      1308996                       # Number of write requests responded to by this memory
system.mem_ctrls0.dram.num_writes::total      1308996                       # Number of write requests responded to by this memory
system.mem_ctrls0.dram.bw_read::.cpu.mmu.dtb.walker         2441                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_read::.cpu.mmu.itb.walker          169                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_read::.cpu.inst      1724331                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_read::.cpu.data        42754                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_read::.pc.south_bridge.ide            2                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_read::total         1769698                       # Total read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_inst_read::.cpu.inst      1724331                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_inst_read::total      1724331                       # Instruction read bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_write::.writebacks        34614                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_write::total          34614                       # Write bandwidth from this memory (bytes/s)
system.mem_ctrls0.dram.bw_total::.writebacks        34614                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.dram.bw_total::.cpu.mmu.dtb.walker         2441                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.dram.bw_total::.cpu.mmu.itb.walker          169                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.dram.bw_total::.cpu.inst      1724331                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.dram.bw_total::.cpu.data        42754                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.dram.bw_total::.pc.south_bridge.ide            2                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.dram.bw_total::total        1804312                       # Total bandwidth to/from this memory (bytes/s)
system.mem_ctrls0.dram.readBursts            46878608                       # Number of DRAM read bursts
system.mem_ctrls0.dram.writeBursts           66123714                       # Number of DRAM write bursts
system.mem_ctrls0.dram.perBankRdBursts::0      4811376                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::1       548083                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::2      2311492                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::3      7718946                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::4      2174201                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::5      2710283                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::6      4184913                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::7       451057                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::8      1540249                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::9      8387368                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::10      2818092                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::11      7075042                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::12       479888                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::13       940224                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::14       247810                       # Per bank write bursts
system.mem_ctrls0.dram.perBankRdBursts::15       479584                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::0      8335228                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::1       560693                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::2      4819617                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::3     10782317                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::4      5362313                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::5      2874364                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::6      6601096                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::7       404697                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::8      1567819                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::9     10074409                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::10      4648940                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::11      7305835                       # Per bank write bursts
